model,dataset,Path F1,Path EM,Answer F1,Answer EM
deepseek-r1-distill-qwen-14b,2wikimultihopqa,0.012 ± 0.003,0.008 ± 0.000,34.359 ± 2.813,23.000 ± 1.732
deepseek-r1-distill-qwen-14b,hotpotqa,0.014 ± 0.000,0.016 ± 0.000,46.871 ± 1.265,35.000 ± 2.646
deepseek-r1-distill-qwen-14b,musique,0.018 ± 0.000,0.014 ± 0.000,32.723 ± 1.953,19.667 ± 2.309
deepseek-r1-distill-qwen-7b,2wikimultihopqa,0.012 ± 0.002,0.008 ± 0.001,17.912 ± 1.447,4.000 ± 1.000
deepseek-r1-distill-qwen-7b,hotpotqa,0.016 ± 0.000,0.016 ± 0.000,23.262 ± 1.716,9.333 ± 0.577
deepseek-r1-distill-qwen-7b,musique,0.019 ± 0.003,0.014 ± 0.000,16.804 ± 0.857,5.000 ± 1.000
qwen2.5-14b-instruct,2wikimultihopqa,0.026 ± 0.000,0.014 ± 0.001,19.469 ± 1.845,5.667 ± 0.577
qwen2.5-14b-instruct,hotpotqa,0.039 ± 0.003,0.030 ± 0.001,31.899 ± 1.334,17.333 ± 2.082
qwen2.5-14b-instruct,musique,0.054 ± 0.003,0.028 ± 0.000,16.099 ± 1.183,3.000 ± 1.000
qwen2.5-2x7b-moe-power-coder-v4,2wikimultihopqa,0.018 ± 0.004,0.010 ± 0.000,8.829 ± 1.368,3.000 ± 0.000
qwen2.5-2x7b-moe-power-coder-v4,hotpotqa,0.024 ± 0.004,0.021 ± 0.002,10.298 ± 3.036,3.333 ± 2.082
qwen2.5-2x7b-moe-power-coder-v4,musique,0.026 ± 0.004,0.018 ± 0.002,4.989 ± 1.485,0.667 ± 0.577
qwen2.5-7b-instruct,2wikimultihopqa,0.017 ± 0.001,0.012 ± 0.000,11.482 ± 4.161,5.667 ± 3.055
qwen2.5-7b-instruct,hotpotqa,0.034 ± 0.002,0.027 ± 0.001,30.892 ± 1.032,18.333 ± 2.082
qwen2.5-7b-instruct,musique,0.042 ± 0.003,0.024 ± 0.000,8.497 ± 1.008,1.667 ± 0.577
state-of-the-moe-rp-2x7b,2wikimultihopqa,0.014 ± 0.004,0.010 ± 0.001,31.020 ± 12.642,22.333 ± 10.693
state-of-the-moe-rp-2x7b,hotpotqa,0.020 ± 0.002,0.018 ± 0.001,41.432 ± 9.508,25.000 ± 6.928
state-of-the-moe-rp-2x7b,musique,0.026 ± 0.007,0.016 ± 0.002,23.049 ± 3.217,6.333 ± 2.887
